Recommended Events
JazzAntiqua Dance & Music Ensemble  The Vijay Iyer Trio,8:00pm @ Nate Holden Performing Arts Center,$25 & $35
Lupe Fiasco,7:00pm @ House of Blues Anaheim,$27.50
Breathe Carolina  Mike Williams,10:00pm @ Create Nightclub,$15
Redlands Symphony,8:00pm @ Memorial Chapel  University of Redlands,$15-$70
Sunscreen Stand up Comedy!,7:45pm @ 553 Mary Ann Dr,$15
American Indian Arts Marketplace - November 11 & 12,10:00am @ Autry Certified Farmers Market,$4-$14
DIAVOLO: 25-Year Anniversary Marathon,7:00pm @ Valley Performing Arts Center,$48-$105
Blackjack Battalion Military Ball,5:30pm @ Millennium Biltmore Hotel Los Angeles,$0-$110
Clap For A Cause,7:00pm @ Stars on Brand,$99
Cold Waves,7:00pm @ The Regent Theater,$40-$50
Freestyle Session 20th Year Anniversary - "The Return of...,12:00pm @ La Boom,$35-$120
Producers Guild of America (PGA) Make Your Mark Event,6:30pm @ South Park Center,$15
The Spazmatics  Mirage,8:00pm @ The Canyon Agoura Hills,$19.50
SCCAEPA and Ramboll Beach Cleanup Day,9:00am @ Bolsa Chica State Beach,TBA
Tom Clark,4:00pm @ Hollywood Improv (The Lab),TBA
The Second Coming of Klaus Kinski,8:00pm @ The Blank's Second Stage Theatre,$20
Aries Spears,7:00pm @ Brea Improv,TBA
16 Days of Activism: Little Stones Film Screening,1:00pm @ Venice Blvd,$5-$8
THE WARNING (a horror satire feature) & Meredith O'Connor,2:20pm @ Regal Cinemas L.A. LIVE 14,TBA
CLA-LA Eleventh Annual Prayer Breakfast,9:00am @ Cathedral of Our Lady of the Angels,TBA
November 11th Grilled Cheese & Beer Night!,7:30pm @ Andrew's Cheese Shop,$60
Microwave  Big Jesus  Blis,5:30pm @ The Echo,$14
Hamilton (Touring),2:00pm @ Pantages Theatre,$358-$650
1 000 Years of Cinema Presented In Dizzying Pear-I-Scope,10:00pm @ The Pack Theater,TBA
Shigeto  Ela Minus,8:30pm @ The Echoplex,$18
Spades for Scholars,7:00pm @ Saint Felix Hollywood,$250
Battalion of Saints  Opposition Rising  The Cryptics,8:00pm @ Resident,$10
The L.A. Autoimmune Walk,1:00pm @ Culver City Park,$35
Celso Piña,8:00pm @ Alex's Bar,$25
Opium Moon,9:00pm @ Corazon Performing Arts,$20
Theo Saunders  John Leftwich,7:00pm @ Desert Rose,
DEALMOON???????????-????????,6:00pm @ Hulun Beir,$25
Chicano International Film Festival 2017,10:00am @ Plaza de la Raza Gallery,TBA
Burbank Philharmonic,8:00pm @ Ambassador Auditorium,Free
Marques Wyatt,10:00pm @ Union Nightclub,$10-$25
Classic Home's Warehouse Sale,8:00am @ Classic Home,
Sales Culture presents Dine with 9 Brunch at LGO,10:00am @ La Grande Orange Cafe,$30
5th ANNUAL YERE CHARITABLE FASHION SHOW,1:00pm @ The Belasco Theater,$0-$100
Gatsby In The Fall,8:00pm @ Electric Pony Studios,$32.50-$35
The Kevin Kanner Quartet,11:00am @ The Lighthouse Cafe,Free
Ashleigh Flynn & the Riveters  GiterDone,8:00pm @ The Cinema Bar,Free
Phoenixook  No Biggee  Absolutely Nothing,8:00pm @ Red Cove,
CSUN Womens Volleyball,7:00pm @ Cal State Northridge  CSUN,$8
Aries Spears,9:30pm @ Brea Improv,TBA
General SoCal Regional November 11 2017,10:00am @ The Grand In Long Beach,$20
Yeastie Boys' Hip-Hop Brunch,9:00am @ The Moroccan Lounge,Free
RMS Beauty Master Class,12:00pm @ Riley Rose,$23.05
Dia De Los Muertos Paint and Sip: ticket includes:...,6:00pm @ Aliento Fundraiser,$35
Moving Together by Coed: Saturday Yoga Flow with the...,9:00am @ PLATFORM,$15
The Tedeschi Trucks Band,8:00pm @ The Orpheum Theatre,$29.50-$89.50
ActLocal Los Angeles,10:00am @ UNITE-HERE Local 11,$0-$25
Eddie Palmieri,8:00pm @ Luckman Fine Arts Complex,$30-$50
Bass Squad,9:00pm @ Union Nightclub,$10
The Black List & Warby Parker present Black List Live!,8:00pm @ Montalbán Theatre,$15-$20
DRI  Excel  Hirax  Deathwish  Witchaven  Cryptic Slaughter,5:30pm @ Union Nightclub,$25
20th Anniversary Performance & Showcase of the...,7:00pm @ Metropolis & Cafe,$10-$20
Rocktoberfest! Rocket and Space Propulsion Panel plus...,5:00pm @ Phase Four Inc,$25
Single Professionals  30s & 40s - Los Angeles  CA,7:30pm @ Kung Pao Bistro,$30
The Dead Ships  Spelles  Velvet,8:00pm @ The Moroccan Lounge,$15
The Pettybreakers  Boys of Summer,8:00pm @ Gaslamp Restaurant & Bar,TBA
Up Close with Casting Director Jessica Sherman,1:00pm @ General Assembly,$15-$35
La Hoja Launch Party,9:00pm @ Secret Location,$80
Saturday Night MyCheekyDate Speed Dating | Los Angeles...,6:00pm @ Viva Hollywood,$33
Open Sky for Autism - November 11  2017,10:00am @ Air Hollywood,$25
Art Walk @ Westminster  Paint & Wine Class,7:00pm @ Westminster Mall,$50
L.A. Chamber Orchestra,8:00pm @ The Theatre at Ace Hotel,$45-$99
Ali Wong,7:00pm @ Fred Kavli Theatre  Thousand Oaks Civic Arts Plaza,$41.75-$61.75
4 Strings  Nifra  Dave Neven  Mike EFEX,10:00pm @ Avalon Hollywood,TICKETS
Four Hour Accords: Pipe Tobacco,10:30am @ The Institute for Art and Olfaction - Chinatown,$145
Pan-African Diaspora Dialogue,10:00am @ Holman United Methodist Church,TBA
Evenings with V: A Night of Channeling & Guidance - Los...,5:00pm @ 1855 Industrial St,$47-$550
Neuromodulation - Changing Lives with Direct...,8:30am @ Cahill Center for Astronomy and Astrophysics,$15-$35
Immigranted Fundraiser in DTLA,7:00pm @ Greenbar Distillery,$60-$100
Musica Angelica,7:00pm @ The Beverly O'Neill Theater,$45-$59
Hayes Carll  The Band of Heathens,9:00pm @ Pappy & Harriet's Pioneertown Palace,$20
Ohm,9:30pm @ The Baked Potato,$25
11.11 Southern California Elite Single Party,6:00pm @ The L.A. Hotel Downtown,$11
Spark Summit: Brand Like a Boss,9:00am @ Open Influence,$97-$147
Shabbat  Connection & Meditation,10:30am @ Kabbalah Book Store Woodland Hills,$10-$35
SATURDAY ALL STAR COMEDY,8:30pm @ HaHa Comedy Club,$15
The Watkins Family Hour,8:30pm @ Largo at the Coronet,$30
Sammy J,7:00pm @ House of Blues Anaheim,$20
Huxley  Josh Butler,10:00pm @ Sound Nightclub,Free-$25
Spencer Day,8:30pm @ Catalina Bar & Grill,TBA
UCLA Bruins Football vs. Arizona State Sun Devils Football,6:30pm @ Rose Bowl,$33-$450
L. Shankar,9:00pm @ Blue Whale,
Kris Delmhorst  Jeffrey Foucault,8:00pm @ McCabe's Guitar Shop,$25
King's Church Men's Breakfast Fellowship,8:00am @ The Commons,TBA
Pickl? Partay // LASA x PIQUE-NIQUE,2:00pm @ Space 15 Twenty,$28
RILEY The Series,4:00pm @ Regal Cinemas L.A. LIVE 14,$5
UPR Second Saturday Speaker's Platform: Principles of...,10:30am @ University of Philosophical Research,$12
Wizards Assemble Pub Crawl - Long Beach,4:00pm @ Shannons on Pine,$20-$30
Adam Miller,8:00pm @ Boulevard Music,$15
2nd Annual MMNS Harvest Festival and Fundraiser 2017,2:00pm @ The Tent,$0-$50
Patient Centered Care Conference,7:30am @ Almansor Court - Lakeview Room,TBA
The Licata Brothers  Raspin Stuwart  Neil Rosengarden ...,2:30pm @ The Coffee Gallery Backstage,$20
Chisme Tortilleria Fall Brunch,9:00am @ Chisme Garden,TBA
No Suits  Melissa Polinar  David Ryan Harris  Justin Kawika,7:00pm @ The Hotel Cafe,$10
Sky Renee  Tiffany Wilson,7:00pm @ Los Globos,TBA
Stay Winning Connection,4:00pm @ Dream Magic Studios,$25-$60
32nd Annual Heidi Duckler Dance Theatre Gala: Ultramarine,4:30pm @ Baldwin Hills Scenic Overlook,$150-$5000
Get Lit's Fall Gala: THE POETRY OF MUSIC!,7:00pm @ Candela Lounge,$0-$500
**WOMEN SOLD OUT**Saturday Night Speed Dating | Los...,6:00pm @ Viva Hollywood,$33
Deer Tick,9:00pm @ The Teragram Ballroom,$20
South Bay Lakers vs. Austin Spurs,7:00pm @ UCLA Health Training Center,$25-$130
Westside Nannies CPR Class,10:00am @ Westside Nannies Office,$80
Self Love Sound Bath,7:00pm @ 2702 W Florence Ave,$25
#ADecadeOfElbo,12:00pm @ 361 Vernon Ave,$100
The Sleeping Beauty,3:00pm @ San Gabriel Mission Playhouse,$20
Reclaiming Your Identity: Taking Off The MASK!!!!,9:00am @ Grand Long Beach Events Center,$0-$35
West Coast Performing Arts Presents Disney's Frozen...,4:00pm @ Janet & Ray Scherr Forum Theatre,$23
Torso Twin  Everyone Is Dirty,9:00pm @ The Smell,$5
LA Ghost Tour "Haunted Hike to the Hollywood Sign",3:30pm @ MEET (on the corner of) Beachwood Dr. & Linforth Dr.,$14
IRD 2nd Annual Birthday Bash: IRD vs RTR + Freshmeat...,4:00pm @ California Street Hockey Association,$8-$25
SPACE Odyssey VR Party x making360,3:00pm @ making360,$0-$30
G.A.R.R.A.S 2017 FASHION SHOW,7:00pm @ DoubleTree by Hilton Los Angeles Downtown,$20-$150
The Danny Green Trio,7:30pm @ Au Lac,$25
Incendio,7:00pm @ The Coffee Gallery Backstage,$20
Rickie Lee Jones,9:00pm @ The Canyon Santa Clarita,$28-$48
Voyager Institute,4:00pm @ Resident,Free
Chris Trapper,7:30pm @ Molly Malone's,TBA
EvoTease Charity Festival - SATURDAY (3 Shows),3:00pm @ Cinematic Pictures Group,$0-$300
AteNine: calling glenn,8:00pm @ UCLA  Royce Hall,$29-$59
Long Beach Symphony,8:00pm @ Long Beach Terrace Theater,$55-$92
Young Dubliners,9:00pm @ The Rose,$24-$38
Paul Frank at Designer Con,9:00am @ Pasadena Convention Center,$10
West Coast Performing Arts Presents Disney's Frozen...,12:00pm @ Janet & Ray Scherr Forum Theatre,$23
Workout with Steph from HKFit,1:30pm @ Evolution Dance Studio,$15
Counterfeiters A Bryce Hirschberg Feature Film,6:15pm @ Regal Cinemas L.A. LIVE 14,$5
Symbol Six  Loss for Concern  Dante,8:30pm @ Cafe NELA,$10
Bruno Mars,8:00pm @ The Forum,$130-$300
Nahko,8:30pm @ The Fonda Theatre,TICKETS
Mayday,8:00pm @ Honda Center,$72-$332
Lance Lipinsky,8:00pm @ Joe's Great American Bar & Grill,TBA
Intimatchine  Busti?,10:00pm @ Boardner's,
Peace  Love  & Flow // "Silent Disco" Yoga + Meditation,10:00am @ ANDREW WEISS GALLERY,TBA
Striking for MMA with Shane Fazen,2:00pm @ Systems Mixed Martial Arts Training and Crossfit Center,$0-$75
Prophetic Ministry 2.0 Practicum,4:00pm @ PIHOP Classroom,$120-$150
Building a Strong Financial Faundation,9:00am @ Pasadena Financial Center,TBA
Suicideboys,8:00pm @ Hollywood Palladium,$25-$30
DesignerCon 2017,All Day @ Pasadena Convention Center,$10-15
The Anne Farnsworth Quartet,8:00pm @ El Camino College  Marsee Auditorium,$21
11-11 Sound Bath,8:30pm @ Moore Dancing,$20-$25
FREE INTRO CAPOEIRA CLASS,2:30pm @ 5557 W. Washington Blvd,TBA
Umek  Jay Lumen,10:00pm @ Exchange L.A.,
Urban Fundamentals 2,8:00pm @ Regal Inn,$10
Tantra Speed Date - Los Angeles!,6:00pm @ Still Yoga,$35-$60
USC vs Colorado  - Game Watch Party,12:00pm @ Buffalo Wild Wings,$7.50
PAT's Path to US Citizenship.,7:30pm @ SAGE NIGHT CLUB & Restaurant,$10-$250
Jacques Lesure,9:00pm @ The World Stage,$20
Horseshoes & Hand Grenades  Kitchen Dwellers  The Dusty...,7:00pm @ The Troubadour,$16
AMT's 2017 D.R.E.A.M. Gala w/Larry King  Dr. Temple...,6:00pm @ Montage Beverly Hills,$0-$1500
Glou Glou BBQ — Magazine Launch,2:00pm @ Rappcats,$45
[Beverly Hills] Art Tour with Wine & Cheese Expert...,1:00pm @ Public Art "The Swan",$30-$40
DIVA 2 DIVA 2  Kuh Ledesma  Zsa Zsa Padilla  Nanette...,7:00pm @ "Paznaz" First Church of the Nazarene,$48-$90
Persona,8:00pm @ REDCAT: Roy & Edna Disney/CalArts Theater,$69
L.A. Philharmonic,8:00pm @ Walt Disney Concert Hall,$20-$194
Nabucco,7:30pm @ Dorothy Chandler Pavilion,$25-$350
Pacific Symphony,8:00pm @ Renée & Henry Segerstrom Concert Hall,$25-$196
Hamilton,2:00pm  8:00pm @ Pantages Theatre,Check options
Nottingham Festival & Tumbleweed Township,All Day @ Simi Valley Civic Center Park,
Stupid F#@king Bird,8:00pm @ Macgowan Little Theater  UCLA,$17
Billy Corgan,8:00pm @ Hollywood Forever Cemetery,$79.50
Wanderlust Hollywood's Holidaze Challenge,All Day @ Wanderlust Hollywood,
Ojai Film Festival,All Day @ Ojai Art Center,
Umeda Restaurant - Hancock Park's Best Omakase!,12:00pm  6:00pm @ Umeda Restaurant,
Amazing Scavenger Hunt Adventure- Los Angeles,All Day @ Olvera Street,Only $39.20 for a team of 2-5 people
World Premiere of Miss Julie,All Day @ The Lounge Theatre,
Audio Tour of Chinatown by L.A. Conservancy,All Day @ Chinese American Museum,Free
Hamilton,8:00pm @ Pantages Theatre,Check options
Clown Bar,7:00pm @ The Viper Room,$25 & $30
Chihuly at the Catalina Island Museum,All Day @ Catalina Island Museum,
Robin K's Inventory & Sample Sale,8:00am @ City of Los Angeles,
Unsettled at the Nevada Museum of Art,All Day @ Nevada Museum of Art,
Flamenco Dinner Theater,8:00pm @ El Cid,TICKETS
Cartoon Network: 25 Years of Drawing on Creativity,12:00pm @ The Paley Center for Media,Free
4U - Dig if you will a Picture,6:00pm @ Showboat Gallery,Free
Jody Jaress & Linda A.,10:30am @ NoHo Arts District,Free
Macbeth: Revisited,8:00pm @ The Second Stage at Sacred Fools Theatre,$15-$35
LeRoy Stevens: Books,10:00am @ Pomona College Art Department Chan Gallery,Free
Curtis Hoekzema: "Paintings",11:00am @ First Independent Gallery (FIG),Free
The Gun,8:00pm @ Ruskin Group Theatre,$25 (Student  Guild Members  & Seniors $20)
Real Mex - El Torito,All Day @ Multiple Locations,
The Mark Z. Stevens Trio,7:00pm @ Desert Rose,Free
Escape Hotel,All Day @ Escape Hotel Hollywood,
The Todd Hunter Trio,12:00pm @ Perch,Free
Becca Lofchie & Gray Wielebinski: ROOMMATES,10:00am @ Pomona College Art Department Chan Gallery,Free
June Keyes Penguin Habitat,All Day @ Aquarium of the Pacific,
The 14th Factory - Epic Experience Beyond Art,All Day @ The 14th Factory,$18 in advance and $22 at the door
The Holiday Gem - Holiday Musical Extravaganza,8:00pm @ The Gem Theatre,$26 general/$23 seniors/$18 children 2 yrs. old & under/$18 students (ID) /$40 Opening Night -11/26 includes reception with cast
The Saturday Show,8:00pm @ M.i. Westside Comedy Theater,$10
Esports Championship Series,All Day @ The Arena at the Anaheim Convention Center,The tickets are available for purchase starting at $15 Standard Ticket  up to a $75 Premium Ticket level. Students with valid school ID can also acquire a free ticket to attend the final two days of the competition. All tickets can be purchased at the EC
Ramen Bangaichi Japan's best Ramen. Now open in LA!,11:00am @ Ramen Bangaichi,
Capturing the Essence of the Landscape with Elizabeth...,9:00am @ San Luis Obispo Museum of Art,$445 members  $475 general. Please register by Friday  April 28  2017. Materials list online
You Kids Get Off My Lawn!,7:00pm @ The Clubhouse,TICKETS
Now Open for Lunch in the Heart of DTLA!,11:30am @ TOMGEORGE,
Yoga Soul w/ Mimosa Flows,10:45am @ Warner Center Park,$10 donataion
The Frogtown Show,8:00pm @ The Left Bank,Free
Still Life,8:30pm @ Rogue Machine Theatre,Admission: $40
The Last Breakfast Club,8:00pm @ Rockwell Table & Stage,$20-$50
THE ARMADILLO NECKTIE,8:00pm @ Lonny Chapman Group Repertory Theatre,General Admission: $25.  Seniors/Students: $20 with ID.  Parties 10+: $15
Escape Room L.A. launches new ghost-themed room: The Theatre,11:30am @ Escape Room L.A.,$30 (Tues-Fri) $35 (Sat/Sun)
A Christmas Carol,8:00pm @ GTC Burbank,$34.50
W Vapes,All Day @ Various Locations,
Katalyst,9:00pm @ Del Monte Speakeasy,Free
Zuma Wellness Vitamin B Shots @ Vintage Grocers,1:00pm @ Vintage Grocers,$30-$50
ALICE IN WONDERLAND- LIVE!,6:00pm @ El Portal Theatre,Tickets from $23.90
The Night Of The Black Cat,8:00pm @ Edgemar Center for the Arts,$35 Regular $45 VIP
Sentimental Lady: Guilty Pleasures,7:00pm @ UCB Franklin,
Viet Film Fest 2016,11:00am @ AMC Orange 30 (AMC Block 30),$12 general / $10 seniors and students
PHOTOGRAPHY WORKSHOPS 101       PRESENTS  BREATHTAKING...,All Day @ North Hollywood Park,$$$
Collect & Decorate  Connect & Elevate,All Day @ Gender Free Arts,
Revolver Gallery Presents "Andy Warhol:Revisited",All Day @ Revolver Gallery,Free  Reservation Required
You Can't Stop the Beat: the Art & Artistry of Hairspray...,12:00pm @ The Paley Center for Media,FREE
Dance Yourself Clean,9:00pm @ The Satellite,$5
Wattles Mansion Designer Showcase,10:00am @ The Wattles Mansion and Gardens,$35-$40
Arcade Saturdays,10:00pm @ Create Nightclub,
ABC's First Official General Hospital Convention,All Day @ Los Angeles Marriott Burbank Airport,Tickets starting at $50. See website for packages and availability
REPRIEVE Clinical Trial to Prevent Heart Disease in...,All Day @ Multiple Locations,
Square Mixx,11:00am @ Square Mixx,
California Continued,10:00am @ The Autry,Museum Admission
The Snowball Party,4:30pm @ Boardner's,$55
Barrio Funky,9:00pm @ Grand Star Jazz Club,$5-$10
Matt Smiley Dreams Fizzle into Space Art Exhibition,2:00pm @ The Bloc LA,FREE
Titicaca: A Two Woman Comedy Show,8:00pm @ Flight Theatre at The Complex,$10 online $15 door
Great Race on the Lincoln Highway Exhibit,10:00pm @ The Automobile Driving Museum,Adults $10  Seniors (62 and older) $8  Children 10-17 $5  Children under 10 Free  Family of Four $25
Awesome Man The Book,All Day @ Multiple Locations,
'80s Dance Party,7:00pm @ That ’80s Bar,$5-$10
Charles Steffen,12:00pm @ The Good Luck Gallery,FREE
Placerita Canyon Natue Center Annual Holiday Craft Fair,10:00am @ Placerita Canon Nature Center Annual Holiday Craft Fair,Parking is Free
Chelle's Seafood Bar & Grill,12:00pm @ Chelle's Seafood,
The Bruery Preservation Society,All Day @ The Bruery,
FILM FESTIVAL LOS ANGELES,9:00am @ Edemar center,$0-250
Charles Busch's Die  Mommie  Die! starring Drew Droege,8:00pm @ Celebration Theatre,$25  $35  $40
Visit the Museum of Broken Relationships,All Day @ Museum of Broken Relationships,
Escapedom,All Day @ Westwood Village,$26
It's Life,8:00pm @ Pacific Resident Theatre,$25-30
Space Shuttle Endeavour,All Day @ California Science Center,
Storyland: A Trip Through Childhood Favorites,10:00am @ Discovery Cube in Los Angeles,Adult ($17.95)  senior ($14.95)  children ages 3-14 ($12.95) and children ages 2 and under (Free)
Sur Restaurant and Lounge,All Day @ Sur Restaurant & Grill,
Bootie L.A.,10:00pm @ Los Globos,$5 & $10
Free Film Series—PETA Kids Morning MOOvies,9:00am @ The PETA Empathy Center,Free
SUMMER CAMPS FOR CHILDREN AND TEENS,All Day @ Edgemar Center for the Arts,$535
Sit Back  Relax & beGlammed!,All Day @ Multiple Locations,
Hotel Angeleno April,All Day @ Hotel Angeleno,
The Wooster Group: The Town Hall Affair,8:30pm @ REDCAT: Roy & Edna Disney/CalArts Theater,$25-$50
Rancho Cucamonga Community Theatre presents Pride &...,7:30pm @ Lewis Family Playhouse,Tickets for Gold Level Seating are priced at $20 for General  $18 for Senior and $16 for Youth. All Platinum Level Seating are priced at $22.50 and are available online at www.lewisfamilyplayhouse.com or through the Box Office at (909) 477-2752
L.A. Art Contest: LA VICTORIA? Brand Gives Back to Local...,5:00am @ Online Contest,Free
BLiTZSTEiN's Wooden Boards,All Day @ Blitzstein Museum of Art,Free Attendance
Conga Room Saturdays,9:00pm @ The Conga Room,TBA
Anna Fafaliou: Traces of Memory,10:00am @ De Re Gallery,N/A
Everything In Between,8:00pm @ American Legion Hollywood Post 43,$25 (Military and veterans $15)
World Dodgeball Society,All Day @ Multiple Locations,
Black Velvet Masterpieces,All Day @ Velveteria: The Museum of Velvet Paintings,
Stars on Brand in Glendale  CA,8:30pm @ Stars on Brand,$65-$90
Hold These Truths,8:00pm @ Pasadena Playhouse,$28 and up
The Wedding Singer,8:00pm @ The Gem Theatre,$30 General Admission  $26 Seniors(60+) & Children (12 yr olds & under)
Homibing Desserts,All Day @ Homibing,
After Images  New Paintings by Laura Lasworth,5:00pm @ Lora Schlesinger Gallery,Free
Los Angeles Fine Art Show,11:00am @ Los Angeles Convention Center,$20 at the door
Metro Green Meds V-Day,10:00am @ Metro Green Meds,
Jonas Wood: Still Life With Two Owls,All Day @ MOCA Grand Avenue,Free
Play Minecraft on the Big Screen in Your Local Los...,10:15am @ Cinemark Playa Vista and XD,$60
Hilary Taub "Recent Work",11:00am @ First Independent Gallery (FIG),Free
Funky Sole,10:00pm @ The Echo,Free-$5
Bar Line Tours,3:00pm @ Timothy Maher,$89
US Sport Expo,9:00am @ Westfield Valencia Town Center,Free on weekends
Art Directors Guild Gallery 800 Presents “Scenic Art:...,All Day @ Gallery 800,FREE
Real Mex - Acapulco,All Day @ Multiple Locations,
Artists and Fleas Weekend Market,11:00am @ Artists and Fleas,N/A
HUBBARD STREET + THE SECOND CITY,7:30pm @ Ahmanson Theatre,
CLUBWAKA,All Day @ Multiple Locations,
Homibing,All Day @ Homibing,
The Gift of Art - Holiday Show,9:00am @ FM Fine Art Gallery,500
The Artsy Flea,10:00am @ Van de Kamp Bakery Building Parking Lot,$1
2017 EST/LA – PLAYWRIGHTS ONE ACT FESTIVAL,8:00pm @ Atwater Village Theatre,$19.95-26
The Help Group's Winter Camps,9:00am @ The Help Group Autism Center Theater,$500 to $650 per day depending on camp program
13th Annual The Bodybuilding.com TheFitExpo January...,10:00am @ Los Angeles Convention Center,$30 per day and $45 for the full weekend
Escape Room LA Kids' Games,9:00am @ Escape Room LA,$24-$37/person
Real Mex - Chevy's,All Day @ Multiple Locations,
Homibing,All Day @ Homibing,
FOR PIANO AND HARPO,8:00pm @ Falcon Theatre,$32-$45
Ocean Exploration,All Day @ Aquarium of the Pacific,
Origins: The Birth and Rise of Chinese American...,All Day @ Chinese American Museum,
Club Bahia,All Day @ Club Bahia,
Knott's Berry Farm - Ghost Town Alive!,All Day @ Knott's Berry Farm,Tickets start at $45
Girls Who Code Summer Immersion Program,All Day @ Girls Who Code,Free
The Holiday Gem  - a holiday extravaganza at The Gem Theatre,2:00pm @ The Gem Theatre,$26 / $23 Seniors / $18 Children 12 yrs. old & under /  $15 Student Rush (Th & Fri ONLY) /  $40 Opening Night Gala (Nov. 26) – includes post-show reception with cast
Groundlings Hook-Up App,8:00pm @ The Groundlings Theater,20
SoCal Etsy Guild Market,All Day @ Various Locations,
