Recommended Events
Party Sub,8:00pm @ MODA Hollywood  Museum of Digital Art,$5
Charles Steffen,12:00pm @ The Good Luck Gallery,FREE
Likkle Reggae Band,10:00pm @ Cana Rum Bar,Free
Now Open for Lunch in the Heart of DTLA!,11:30am @ TOMGEORGE,
ALICE IN WONDERLAND- LIVE!,6:00pm @ El Portal Theatre,Tickets from $23.90
You Can't Stop the Beat: the Art & Artistry of Hairspray...,12:00pm @ The Paley Center for Media,FREE
The Show,9:00pm @ Cinespace,$10
Dance with the LA Clippers Spirit,12:00pm @ LA Clippers Spirit Training Center,$15/Single Class  $70/5 Class Pack  $135/10 Class Pack
Jonas Wood: Still Life With Two Owls,All Day @ MOCA Grand Avenue,Free
Great Race on the Lincoln Highway Exhibit,10:00pm @ The Automobile Driving Museum,Adults $10  Seniors (62 and older) $8  Children 10-17 $5  Children under 10 Free  Family of Four $25
California Continued,10:00am @ The Autry,Museum Admission
It's Holiday Time,12:00pm @ The Paley Center for Media,FREE
Homibing,All Day @ Homibing,
Capturing the Essence of the Landscape with Elizabeth...,9:00am @ San Luis Obispo Museum of Art,$445 members  $475 general. Please register by Friday  April 28  2017. Materials list online
Chelle's Seafood Bar & Grill,2:00pm @ Chelle's Seafood,
Visit the Museum of Broken Relationships,All Day @ Museum of Broken Relationships,
Dub Club,9:00pm @ The Echoplex,$7
Vespaio,All Day @ Vespaio,
Sit Back  Relax & beGlammed!,All Day @ Multiple Locations,
Low End Theory,9:30pm @ The Airliner,
The Challenge Mic,8:00pm @ The Copper Still,Free
Art Camp With Lena!,4:30pm @ Au Fudge,$20
Space Shuttle Endeavour,All Day @ California Science Center,
Esports Championship Series,All Day @ The Arena at the Anaheim Convention Center,The tickets are available for purchase starting at $15 Standard Ticket  up to a $75 Premium Ticket level. Students with valid school ID can also acquire a free ticket to attend the final two days of the competition. All tickets can be purchased at the EC
Mattia Biagi: The Pleasure Principal,11:00am @ Eric Buterbaugh Gallery,FREE
Hilary Taub "Recent Work",11:00am @ First Independent Gallery (FIG),Free
HUBBARD STREET + THE SECOND CITY,7:30pm @ Ahmanson Theatre,
The Help Group's Winter Camps,9:00am @ The Help Group Autism Center Theater,$500 to $650 per day depending on camp program
Ramen Bangaichi Japan's best Ramen. Now open in LA!,11:00am @ Ramen Bangaichi,
This Ain't Your Daddy's Big Band,7:30pm @ Cody's Viva Cantina,Free
Improve Public Speaking Skills with Toastmasters...,11:00am @ Pregerson Technical Facility,Free
Sur Restaurant and Lounge,All Day @ Sur Restaurant & Grill,
Anna Fafaliou: Traces of Memory,10:00am @ De Re Gallery,N/A
Westside Pride Wednesdays,8:00pm @ The Pink Elephant,No Door Fee
The Bruery Preservation Society,All Day @ The Bruery,
SoCal Etsy Guild Market,All Day @ Various Locations,
Viet Film Fest 2016,11:00am @ AMC Orange 30 (AMC Block 30),$12 general / $10 seniors and students
Collect & Decorate  Connect & Elevate,All Day @ Gender Free Arts,
PHOTOGRAPHY WORKSHOPS 101       PRESENTS  BREATHTAKING...,All Day @ North Hollywood Park,$$$
Becca Lofchie & Gray Wielebinski: ROOMMATES,10:00am @ Pomona College Art Department Chan Gallery,Free
LOOK AT ME! A Solo Variety Show,10:30pm  10:30pm  10:30pm  10:30pm  10:30pm  10:30pm  10:30pm  10:30pm  10:30pm  10:30pm  10:30pm @ UCB Sunset,$5
Drop-in Meditation Classes,7:30am  12:15pm  5:00pm  5:30pm @ Kadampa Meditation Center Hollywood,$5
Titicaca: A Two Woman Comedy Show,8:00pm @ Flight Theatre at The Complex,$10 online $15 door
Karaoke Wednesdays,5:00pm @ Don Chente Bar  Grill & Lounge,$5 beer/wine/well-shots/appetizers
Weekly Acting Classes for Film  TV and Stage,7:00pm @ Hollywood Playhouse at the Zephyr Theatre,$160 monthly
Big & Tall Presents BARK!,8:00pm @ The Barkley Restaurant & Bar,FREE
Scot Nery's Boobie Trap,8:00pm @ Club Fais Do-Do,25 / 20 in advance
Zuma Wellness Vitamin B Shots @ Vintage Grocers,12:00pm @ Vintage Grocers,$30-$50
"Great Show!!" — DMA Final MFA Exhibition,10:00am @ New Wight Gallery,FREE
Curtis Hoekzema: "Paintings",11:00am @ First Independent Gallery (FIG),Free
ABC's First Official General Hospital Convention,All Day @ Los Angeles Marriott Burbank Airport,Tickets starting at $50. See website for packages and availability
Fleming's Southern Hemisphere Wine Harvest Dinner,All Day @ Fleming's Prime Steakhouse,79
Homibing,All Day @ Homibing,
BLiTZSTEiN's Wooden Boards,All Day @ Blitzstein Museum of Art,Free Attendance
Square Mixx,11:00am @ Square Mixx,
Escape Room LA Premieres The Alchemist,6:00pm @ Escape Room LA,$30-35
FOR PIANO AND HARPO,8:00pm @ Falcon Theatre,$32-$45
LA Hootenanny LIVE at Villains Tavern,All Day @ Villain's Tavern,
Wednesday Night Magic with Rangel,7:00pm  7:00pm @ Urban Press Winery,Free
Bulgogi Hut,All Day @ Bulgogi Hut,
Artists and Fleas Weekend Market,11:00am @ Artists and Fleas,N/A
Bar Line Tours,5:00pm @ Timothy Maher,$89
CLUBWAKA,All Day @ Multiple Locations,
Merican Made Pop-Up,11:00am @ Milkmade,Free
Hotel Angeleno April,All Day @ Hotel Angeleno,
Radio Picture Show,8:30pm @ The Virgil,$8
Free Fit Camp Workouts,6:15pm @ Shape Up LA,FREE
Escape Room L.A. launches new ghost-themed room: The Theatre,6:00pm @ Escape Room L.A.,$30 (Tues-Fri) $35 (Sat/Sun)
Raquel Rodriguez,7:00pm @ Perch,Free
Perception,11:00am @ KM Fine Arts,Free
FILM FESTIVAL LOS ANGELES,9:00am @ Edemar center,$0-250
The Wooster Group: The Town Hall Affair,8:30pm @ REDCAT: Roy & Edna Disney/CalArts Theater,$25-$50
The Fit Society,7:00pm @ W Hotel Hollywood,25
Andr? Gregory directs Wallace Shawn's The Designated Mourner,8:00pm @ REDCAT: Roy & Edna Disney/CalArts Theater,General: $50-55  Member/Student: $40-45  CalArts: $25-30
Awesome Man The Book,All Day @ Multiple Locations,
Club Rubbish,10:00pm @ Short Stop,Free
Matt Smiley Dreams Fizzle into Space Art Exhibition,11:00am @ The Bloc LA,FREE
Real Mex - Acapulco,All Day @ Multiple Locations,
Remarkable Works  Remarkable Times,All Day @ Huntington Library  Art Collections and Botanical Gardens,
Girls Who Code Summer Immersion Program,All Day @ Girls Who Code,Free
June Keyes Penguin Habitat,All Day @ Aquarium of the Pacific,
Enjoy Ice Flakes Desserts at Homibing,All Day @ Homibing,
Triptease Burlesque,10:00pm @ Trip,$5
13th Annual The Bodybuilding.com TheFitExpo January...,10:00am @ Los Angeles Convention Center,$30 per day and $45 for the full weekend
Open mic,7:00pm @ Starboard Attitude,Free
Ye Olde Hushe Clubbe,9:30pm @ Hyperion Tavern,Free
Metro Green Meds V-Day,10:00am @ Metro Green Meds,
Facebook,9:30pm @ UCB Franklin,
Children's Choir Auditions: MUSYCA,4:00pm @ Shomrei Torah Synagogue,$25 audition fee  to be applied toward choir tuition
Barry "Big B" Brenner,8:30pm @ Tuning Fork,Free
Placerita Canyon Natue Center Annual Holiday Craft Fair,10:00am @ Placerita Canon Nature Center Annual Holiday Craft Fair,Parking is Free
The Gift of Art - Holiday Show,9:00am @ FM Fine Art Gallery,500
Origins: The Birth and Rise of Chinese American...,All Day @ Chinese American Museum,
After Images  New Paintings by Laura Lasworth,5:00pm @ Lora Schlesinger Gallery,Free
Ocean Exploration,All Day @ Aquarium of the Pacific,
Online Cannabis Recs. from Dr. Don Davidson,All Day @ L.A. Weekly,
Arleen G. Hendler "Works on Paper",11:00am @ First Independent Gallery (FIG),Free
REPRIEVE Clinical Trial to Prevent Heart Disease in...,All Day @ Multiple Locations,
UCLA Meteorite Gallery,9:00am @ UCLA Meteorite Gallery,
SUMMER CAMPS FOR CHILDREN AND TEENS,All Day @ Edgemar Center for the Arts,$535
LeRoy Stevens: Books,10:00am @ Pomona College Art Department Chan Gallery,Free
Just Dave Bernal's Last Chance Country Jam,9:00pm @ Maui Sugar Mill Saloon,
Evergreen State College,All Day @ The Evergreen State College,
Real Mex - El Torito,All Day @ Multiple Locations,
Escape Room LA Kids' Games,9:00am @ Escape Room LA,$24-$37/person
Revolver Gallery Presents "Andy Warhol:Revisited",All Day @ Revolver Gallery,Free  Reservation Required
Storyland: A Trip Through Childhood Favorites,10:00am @ Discovery Cube in Los Angeles,Adult ($17.95)  senior ($14.95)  children ages 3-14 ($12.95) and children ages 2 and under (Free)
